CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
2,37,0,70
2,31,5,65
1,39,1,44
0,33,0,27
2,31,3,205
1,42,2,40
3,32,6,136
7,13,19,178
5,29,10,176
1,23,0,56
1,23,0,56
2,27,6,97
1,30,2,53
1,29,2,114
1,40,0,12
1,47,3,41
1,38,0,20
1,30,1,72
1,30,1,12
1,36,0,17
3,19,24,111
1,39,2,47
1,40,1,50
0,25,2,15
4,125,7,137
1,36,4,67
1,40,2,72
1,30,4,72
2,29,13,77
0,28,0,19
1,34,1,27
1,2,0,14
1,33,0,48
2,25,9,68
1,35,3,18
2,4,4,62
1,9,4,36
3,15,21,81
2,18,6,61
2,20,15,68
2,20,15,68
2,2,12,67
1,11,15,59
1,35,0,15
1,33,1,25
1,39,1,9
1,39,1,9
2,41,2,76
1,37,0,54
1,26,5,63
1,34,0,15
1,28,0,45
3,6,8,79
3,6,8,79
3,6,8,79
2,22,4,75
2,6,6,61
2,20,0,53
1,38,1,31
0,16,0,30
1,13,1,35
3,13,1,62
1,36,3,59
0,24,0,22
1,51,1,155
0,19,0,16
1,21,4,148
1,42,1,61
1,26,1,56
1,26,1,56
1,26,1,56
0,45,0,22
1,29,0,88
1,33,2,32
2,3,5,65
1,19,2,97
1,19,2,97
1,21,13,45
1,40,2,23
1,39,4,50
1,36,3,69
1,40,2,64
1,27,6,47
4,7,35,125
1,27,6,42
1,35,3,62
1,14,1,59
1,28,2,45
1,24,2,25
1,35,1,56
5,29,12,122
1,20,0,39
1,36,0,23
1,44,0,25
1,25,0,147
1,28,9,47
1,31,5,67
3,150,1,174
2,18,10,59
2,18,10,59
1,29,0,54
1,35,0,24
1,21,5,51
2,12,27,68
1,19,8,46
1,30,1,55
0,30,0,21
0,18,1,16
0,15,0,12
0,31,0,48
0,41,0,25
1,41,1,40
0,29,1,22
1,29,1,11
1,43,6,58
1,44,5,72
0,32,0,53
2,40,10,71
2,40,10,71
1,37,0,59
1,42,1,35
4,5,10,102
1,44,0,58
1,39,2,33
1,33,0,50
1,32,4,52
1,28,1,55
1,33,1,32
0,21,1,23
1,35,1,15
0,17,0,28
1,28,1,30
1,65,0,41
1,31,3,20
0,25,0,39
2,42,1,76
4,84,5,105
1,28,0,17
1,33,0,9
1,29,1,39
2,123,4,94
0,32,1,26
1,32,2,32
1,42,0,54
1,36,0,23
1,33,0,17
1,35,2,30
3,5,34,81
1,28,0,3
1,40,5,55
0,33,1,12
1,42,0,14
1,58,2,79
1,17,1,45
1,27,0,34
1,46,0,57
1,48,1,25
1,25,2,56
1,25,2,56
1,25,2,56
1,25,2,56
1,25,2,56
1,25,2,56
1,25,2,56
1,25,2,56
1,25,2,56
0,14,0,15
0,14,0,15
1,27,3,20
3,78,2,119
3,163,1,156
2,49,1,83
1,34,0,23
1,40,1,59
2,15,1,69
1,45,0,58
1,45,0,58
1,30,6,58
1,36,1,54
1,38,2,56
1,33,1,42
1,31,4,61
1,8,4,62
1,8,4,62
1,19,10,63
3,6,13,67
1,38,5,68
1,33,5,39
2,11,24,90
1,25,7,60
1,39,0,51
1,31,8,39
1,37,2,59
2,23,11,68
1,49,0,77
1,36,4,75
1,30,0,22
1,35,2,82
5,205,4,163
1,35,0,55
1,33,7,36
1,47,3,54
1,38,0,71
1,35,0,175
1,39,3,55
0,33,1,13
1,11,1,32
2,22,2,125
0,33,1,16
2,26,3,128
1,23,0,31
1,40,0,28
2,170,4,150
3,17,4,103
1,16,0,51
1,29,6,56
1,29,6,56
1,23,11,51
4,7,3,99
2,14,4,106
2,14,4,106
2,34,6,77
1,26,2,32
10,33,69,154
3,18,3,89
1,44,1,59
1,38,3,53
1,27,4,44
1,41,2,75
3,16,1,58
1,42,8,83
1,27,3,59
1,25,10,97
2,46,1,179
3,164,1,154
5,4,25,163
5,4,25,163
2,37,7,60
1,22,3,38
1,37,4,67
1,20,0,164
0,20,0,12
1,35,0,16
1,38,2,66
1,5,2,36
1,24,6,54
1,44,1,22
1,26,11,54
1,31,1,99
1,35,1,61
1,33,5,57
0,20,1,24
0,20,1,24
1,34,7,34
1,46,0,56
1,46,0,56
4,5,12,103
1,30,4,57
1,30,4,57
1,6,4,56
1,31,1,51
1,46,0,75
1,25,1,151
2,77,0,164
2,8,2,50
1,42,0,14
1,33,3,17
1,38,0,32
1,34,6,64
2,18,18,85
2,18,18,85
1,38,0,175
1,31,4,24
1,21,1,56
1,31,6,51
1,42,2,72
1,9,1,32
1,39,0,61
1,33,3,20
1,39,0,61
1,24,2,77
1,23,1,46
1,35,4,66
1,8,2,40
1,40,4,51
1,45,2,71
0,21,0,52
1,33,3,69
2,16,15,60
2,16,15,60
3,2,12,106
1,45,0,62
1,39,2,11
1,37,1,75
2,25,5,69
4,170,2,152
1,9,1,20
1,45,0,56
2,24,11,74
2,24,11,74
1,25,6,66
1,22,6,56
2,14,0,74
1,41,3,69
1,48,0,65
1,44,0,158
1,35,0,36
1,32,0,10
0,12,1,14
0,12,1,14
0,12,1,14
1,24,2,47
1,30,1,51
2,20,18,70
3,18,20,73
0,15,0,26
2,24,1,56
10,13,13,174
1,35,2,26
1,38,0,136
1,29,3,48
1,22,0,14
1,25,1,63
1,17,0,30
1,40,4,59
1,34,8,26
1,34,8,26
1,34,8,26
2,17,22,68
2,18,21,72
1,43,0,71
1,43,0,71
1,33,0,22
0,17,2,19
1,33,3,20
1,45,2,55
1,41,0,53
1,44,0,74
1,36,0,54
2,17,1,76
1,26,1,22
1,35,0,37
1,29,3,63
1,37,0,61
1,32,1,63
1,30,2,58
2,33,8,41
1,20,8,48
1,35,0,207
1,21,0,37
9,5,25,179
2,33,9,50
2,33,9,50
1,10,13,55
1,29,3,44
1,35,0,29
2,18,16,63
2,18,16,63
1,32,2,50
1,35,1,34
2,10,17,66
1,39,4,80
1,43,0,57
1,38,1,64
1,15,8,41
1,15,8,41
1,15,8,41
1,15,8,41
1,15,8,41
1,30,4,63
1,49,1,101
1,30,4,58
2,5,19,66
2,5,19,66
1,63,3,58
2,29,8,75
0,19,0,27
1,44,2,57
0,18,1,10
0,18,1,10
1,19,1,43
1,46,4,59
1,29,6,39
1,29,6,39
1,47,3,67
0,18,0,11
1,26,7,55
3,158,2,113
1,13,7,71
4,9,36,128
1,42,3,51
1,23,1,59
6,1,20,170
3,16,26,107
3,16,26,107
6,36,0,63
1,14,11,52
1,39,2,38
1,14,11,62
1,37,0,56
1,24,2,50
1,23,0,54
6,1,19,165
1,4,0,27
2,29,12,51
1,30,3,14
1,30,3,14
1,30,3,14
1,30,3,14
1,30,3,14
1,30,3,14
1,30,3,14
0,13,0,16
3,6,13,103
1,4,2,48
0,29,0,20
1,41,3,50
1,47,2,58
1,40,4,53
4,25,9,149
4,45,6,168
1,18,1,51
1,16,0,30
5,26,10,320
2,38,2,86
1,93,1,27
1,32,2,151
1,36,7,38
1,28,17,79
2,10,11,67
1,42,0,30
5,34,36,155
1,52,0,60
1,15,3,61
3,40,2,93
1,28,0,51
2,23,4,75
2,23,4,75
1,39,1,46
1,44,0,24
1,28,0,37
1,33,0,13
0,17,0,41
1,58,0,57
1,37,1,50
1,29,0,46
0,16,0,23
1,40,1,28
1,45,1,49
1,27,0,80
0,23,0,18
1,47,2,56
1,37,1,35
2,86,1,39
1,17,0,47
1,62,0,54
1,15,0,40
2,27,13,63
1,43,1,48
1,43,1,48
1,43,1,48
1,43,1,48
1,43,1,48
1,43,1,48
1,43,1,48
1,43,1,48
1,43,1,48
1,37,2,47
3,13,20,125
1,25,0,54
1,43,2,72
1,46,5,58
1,46,5,58
1,46,5,58
1,46,5,58
1,46,5,58
1,46,5,58
3,17,23,100
0,19,0,29
1,41,1,55
1,36,0,22
1,48,2,51
1,48,2,51
1,48,2,51
1,48,2,51
1,27,0,60
0,38,0,30
1,38,1,53
1,61,0,60
1,30,3,45
0,21,0,18
1,39,0,83
1,23,0,50
1,41,1,43
1,41,1,43
1,41,1,43
1,41,1,43
1,38,2,51
1,38,0,29
1,38,0,29
1,32,1,52
1,46,2,51
1,32,9,73
1,36,1,37
1,39,0,30
1,38,0,37
1,22,0,76
1,22,0,76
0,23,0,29
1,37,0,58
0,21,2,28
1,37,0,15
1,44,1,32
1,57,0,56
0,20,0,15
1,40,2,25
2,72,1,157
5,33,9,164
1,51,0,61
1,43,1,48
1,43,1,48
1,44,0,93
0,37,0,31
1,48,1,19
1,52,0,62
1,38,0,46
1,46,0,64
1,36,0,20
1,26,18,82
3,37,3,152
2,22,10,72
1,60,0,72
1,36,1,50
1,85,1,14
0,18,0,31
1,49,0,74
1,29,1,72
0,20,0,23
1,35,0,17
1,40,2,52
1,40,2,52
1,40,2,52
1,40,2,52
1,39,0,28
1,44,0,46
4,37,7,145
4,37,7,145
1,65,0,48
1,38,3,51
1,51,0,36
1,33,2,65
1,22,1,18
1,32,1,51
1,32,1,51
1,61,0,65
1,38,0,46
1,44,2,50
1,44,2,50
1,33,1,30
1,43,0,22
0,18,0,8
0,23,0,38
1,41,0,32
2,23,4,154
3,23,17,95
3,23,17,95
3,23,17,95
3,23,17,95
1,23,0,50
1,23,0,50
1,20,0,21
1,39,0,20
1,46,3,51
0,32,0,43
1,45,1,51
1,38,3,161
6,15,9,171
1,50,0,11
1,30,3,49
1,42,0,31
1,42,0,31
1,34,0,43
1,34,0,43
1,36,4,58
0,26,0,20
0,23,0,17
1,55,0,59
1,28,2,37
0,23,0,19
0,35,0,34
0,18,0,34
2,18,3,65
2,18,3,65
1,35,0,102
1,35,3,190
1,60,0,41
1,32,3,52
1,49,0,50
1,39,0,32
1,49,1,38
2,82,1,35
1,30,0,24
1,44,2,46
1,47,3,42
1,42,1,54
1,42,1,54
1,21,0,47
1,38,0,64
1,32,5,55
1,37,2,56
1,35,0,26
1,16,4,45
0,21,0,34
1,69,0,54
1,55,0,63
1,40,3,47
1,31,4,50
1,30,2,52
1,40,0,9
0,24,0,30
3,36,8,91
3,20,14,116
1,31,0,39
4,2,5,97
1,63,0,87
1,67,0,43
1,20,3,89
1,70,0,42
1,18,0,38
0,15,0,30
1,46,0,34
1,31,0,31
2,97,2,77
1,34,0,32
1,33,0,31
2,28,11,55
1,15,10,55
1,20,10,52
1,27,8,63
1,13,1,38
1,8,3,62
2,14,19,65
1,40,1,58
2,26,8,58
1,29,6,57
1,26,3,42
1,26,3,42
1,47,1,27
1,24,0,38
2,21,3,114
1,31,2,53
1,34,3,65
3,15,0,78
3,15,0,78
1,26,9,53
1,24,0,51
1,46,2,56
5,5,12,159
1,47,2,45
1,19,3,106
1,29,5,34
1,31,4,28
1,31,4,28
2,37,9,48
1,0,2,24
0,17,1,22
1,42,1,42
1,31,1,26
0,31,2,15
1,17,1,25
1,17,1,25
1,25,0,16
4,4,35,110
2,31,7,60
2,23,14,73
2,26,4,137
3,67,2,160
1,45,0,54
1,34,0,5
1,43,0,60
1,54,0,66
1,40,0,63
3,6,23,126
1,8,3,59
1,42,0,22
2,32,6,77
1,58,0,66
2,10,3,70
1,49,0,54
1,44,2,58
1,35,0,17
1,32,2,69
1,31,0,10
1,20,4,84
1,6,3,66
1,42,0,15
1,31,3,118
3,22,19,85
3,22,19,85
3,22,19,85
3,22,19,85
3,22,19,85
1,39,3,42
1,34,0,4
1,53,0,63
0,33,1,28
1,34,6,50
2,30,6,71
2,30,6,71
1,24,0,52
1,24,0,52
1,24,0,52
1,24,0,52
2,49,1,78
2,8,0,71
1,41,0,96
1,20,0,52
1,32,5,29
1,50,0,56
1,37,4,46
1,37,4,46
1,36,1,45
1,21,0,62
1,50,0,63
2,12,1,102
1,49,0,43
1,34,0,24
1,40,2,53
1,20,15,50
1,20,15,50
1,33,2,36
1,36,0,173
1,30,2,55
1,32,0,23
2,34,5,36
2,2,5,71
2,2,5,71
2,2,5,71
1,39,0,32
1,36,0,192
4,159,4,108
4,159,4,108
1,48,4,62
1,54,0,70
1,30,3,50
1,32,8,51
0,15,1,34
1,71,1,47
11,12,8,181
1,15,11,61
4,5,39,87
4,5,39,87
4,5,39,87
4,5,39,87
4,5,39,87
0,6,0,14
0,6,0,14
0,6,0,14
0,6,0,14
0,6,0,14
1,38,2,70
0,34,1,17
2,5,11,56
2,5,11,56
2,5,11,56
1,15,7,58
1,15,7,58
1,15,7,58
1,15,7,58
0,16,0,20
0,16,0,20
0,16,0,20
1,59,0,62
3,114,1,176
1,22,0,48
0,29,0,19
1,19,0,49
1,32,1,64
0,36,0,18
2,34,6,68
2,34,6,68
2,34,6,68
2,34,6,68
2,34,6,68
9,16,29,193
1,27,0,60
1,27,0,60
1,39,0,27
1,41,0,87
2,57,2,164
1,47,0,91
1,38,2,47
4,101,6,180
1,46,0,44
2,33,5,60
1,43,0,18
1,46,0,70
1,44,0,37
1,43,0,55
3,13,1,127
1,39,2,50
1,46,1,69
1,16,0,24
1,38,0,18
1,43,0,28
1,18,5,53
1,28,0,43
1,28,0,43
1,28,0,43
1,28,0,43
0,26,1,12
1,41,0,14
1,43,0,54
1,35,1,40
1,52,0,64
1,67,0,45
0,24,1,11
1,11,0,25
1,33,1,77
1,38,1,49
1,30,3,55
1,30,3,55
1,72,1,56
0,25,2,59
1,24,0,41
10,9,23,220
1,27,0,57
4,2,4,94
0,24,0,30
1,38,0,23
1,28,0,68
1,66,0,90
1,74,0,27
1,46,2,52
1,46,2,52
1,46,2,52
1,46,2,52
1,39,0,57
1,18,0,43
1,29,1,89
1,41,0,44
1,34,4,30
0,24,1,11
2,23,1,65
1,12,11,51
2,31,14,50
2,42,9,132
1,33,0,14
1,32,0,4
1,39,2,38
2,34,3,74
1,15,6,38
1,43,0,62
0,27,1,35
2,5,8,75
2,18,4,131
2,4,0,84
1,33,4,67
0,30,0,29
0,18,0,2
1,32,7,45
1,21,5,63
1,5,3,25
1,12,0,35
1,26,0,35
1,19,0,89
1,33,8,50
2,26,8,63
1,15,3,48
1,46,1,29
0,19,1,28
2,42,9,117
1,22,0,62
1,35,3,20
1,16,8,67
1,28,4,55
1,39,2,30
1,41,1,26
1,12,15,59
1,12,15,59
1,36,3,36
0,17,3,24
3,16,10,84
4,179,2,175
1,48,1,64
1,48,1,64
0,7,0,18
1,21,1,36
1,43,1,55
0,11,0,21
2,19,14,63
2,19,14,63
1,30,0,41
4,0,5,121
1,37,2,58
1,35,1,68
1,25,0,51
1,32,0,59
1,39,1,74
1,1,0,38
4,3,6,100
1,4,1,34
1,42,2,48
1,11,4,49
2,18,5,64
0,23,2,22
2,23,7,77
2,20,10,70
1,14,17,55
1,9,4,40
0,16,3,20
1,29,3,71
1,56,0,97
1,45,0,64
1,50,0,57
1,35,0,13
1,25,7,53
1,23,3,38
1,61,0,69
1,35,0,81
1,41,1,56
1,34,1,41
1,44,0,51
1,18,1,44
1,51,0,61
1,51,0,61
1,40,4,54
9,2,17,264
2,41,1,106
3,23,13,96
3,23,13,96
0,20,0,28
1,39,1,48
1,39,1,44
1,14,0,24
1,55,1,52
3,66,4,169
1,32,1,47
1,49,1,14
0,25,4,13
4,4,23,143
4,4,23,143
4,4,23,143
1,34,1,55
1,34,1,55
10,3,24,198
0,25,0,23
1,25,0,39
1,47,0,54
3,17,26,117
3,17,26,117
1,5,0,26
1,58,0,59
0,25,0,30
1,68,0,61
15,6,59,281
2,14,5,93
1,20,1,72
1,20,1,72
1,20,0,52
1,19,0,90
1,27,0,55
1,45,0,54
1,29,0,54
1,32,7,39
1,34,1,8
1,26,6,41
1,48,0,56
1,28,0,84
0,11,0,5
1,46,0,82
1,3,0,48
1,18,0,31
1,41,1,20
1,38,1,46
1,37,1,33
1,67,0,68
1,27,0,40
2,26,1,85
1,54,0,66
1,18,1,45
1,10,1,33
1,12,4,63
1,63,0,48
1,30,0,54
1,28,3,61
1,28,3,61
1,48,0,54
1,38,0,38
1,43,0,25
1,39,0,64
1,26,3,55
1,24,0,55
1,60,0,65
2,126,0,189
2,25,4,59
2,25,4,59
1,30,5,53
1,25,2,65
1,38,1,62
1,38,1,62
1,38,1,62
1,30,0,19
1,30,0,19
0,13,0,25
1,24,0,134
1,44,1,20
1,19,6,70
2,24,0,53
2,27,8,68
1,38,0,67
2,47,0,68
2,9,4,75
2,52,11,71
1,28,1,34
1,30,6,48
0,9,2,30
1,37,4,55
14,21,17,212
1,28,6,61
1,37,3,50
2,37,8,52
2,24,9,66
1,45,0,55
1,34,3,62
1,18,4,51
1,17,0,46
1,43,0,58
1,21,5,60
1,48,0,53
2,3,5,68
1,43,0,76
2,36,7,76
2,36,7,76
2,36,7,76
2,36,7,76
2,36,7,76
2,36,7,76
1,35,3,64
1,36,3,50
1,10,15,58
1,19,0,38
1,19,0,38
1,34,1,68
1,17,0,41
1,27,5,59
1,94,2,159
1,34,1,17
1,26,5,30
1,26,5,30
0,11,2,17
0,11,2,17
1,21,2,55
1,23,5,50
1,18,6,54
1,14,12,45
4,3,35,129
1,37,2,63
1,33,3,19
2,31,13,83
0,24,0,35
1,23,9,56
2,65,0,49
0,29,1,24
1,63,1,67
0,1,1,15
1,44,1,43
1,44,1,43
1,31,0,23
1,29,3,51
1,40,1,71
1,34,2,51
9,18,12,172
1,24,0,45
1,25,1,84
1,33,2,41
1,40,1,69
1,34,1,19
1,24,0,3
1,19,6,61
1,38,2,47
1,12,8,43
1,12,8,43
1,12,8,43
1,27,5,71
4,20,1,117
1,41,3,32
1,41,3,32
1,41,3,32
1,41,3,32
1,41,3,32
1,41,3,32
1,42,2,27
1,24,3,50
1,35,1,50
0,33,1,23
1,36,5,98
2,51,0,74
0,34,0,33
1,29,0,16
3,127,3,114
1,32,2,99
1,16,0,34
1,16,0,34
2,156,2,84
1,19,1,37
1,34,1,25
0,31,2,16
1,18,2,30
1,18,2,30
2,6,22,77
0,30,0,11
2,36,10,57
2,36,10,57
2,36,10,57
2,36,10,57
2,36,10,57
2,36,10,57
1,28,9,47
1,12,18,65
1,23,1,33
1,38,9,53
1,22,13,56
0,21,0,51
1,34,0,63
1,34,0,152
1,31,1,50
0,33,0,32
1,24,1,63
1,32,1,16
1,49,3,22
0,28,0,60
1,28,6,53
1,22,7,52
1,44,2,446
1,44,2,446
1,24,4,39
4,3,30,138
1,26,2,40
0,30,0,31
0,30,0,31
0,30,0,31
1,73,0,68
1,28,2,34
1,29,4,40
3,39,2,73
2,14,7,77
2,14,7,77
2,14,7,77
2,14,7,77
2,14,7,77
1,43,5,57
133,0,53,500
133,0,53,500
133,0,53,500
0,31,1,56
0,31,1,56
0,31,1,56
1,40,0,81
1,37,1,22
1,25,4,54
1,26,6,39
1,25,6,57
1,32,3,33
0,37,1,44
0,32,1,28
1,43,1,32
1,40,3,41
3,35,8,82
1,44,5,51
2,10,6,149
1,61,1,42
1,35,2,20
0,25,1,33
0,31,1,26
1,9,18,55
0,27,1,35
1,37,1,35
1,26,1,95
1,10,1,30
1,28,8,42
1,28,8,42
1,28,8,42
1,28,8,42
1,28,8,42
1,29,2,34
1,41,2,39
1,27,2,28
1,6,3,51
1,6,3,51
1,6,3,51
1,6,3,51
1,6,3,51
1,6,3,51
1,20,5,54
1,43,3,42
4,0,11,124
0,29,2,20
4,12,2,110
1,22,4,49
4,12,16,183
0,34,1,34
1,30,5,43
1,16,10,62
1,36,0,35
2,15,20,64
1,36,0,34
1,28,4,25
1,27,1,59
3,169,3,104
1,18,4,35
2,10,8,81
0,17,0,21
2,31,5,116
1,30,2,27
1,6,4,52
0,15,0,23
1,28,3,57
1,30,5,40
1,18,7,30
4,128,1,159
1,22,0,57
0,17,0,37
2,142,1,139
1,13,0,42
2,22,0,67
3,163,2,177
0,29,1,5
2,72,1,76
1,38,1,65
1,43,4,38
1,44,1,43
1,29,1,52
1,29,1,52
2,30,5,57
1,36,1,34
2,30,6,88
1,41,0,500
1,29,0,32
2,22,11,63
5,206,4,150
5,206,4,150
1,46,0,23
1,23,0,52
1,23,0,52
1,23,0,52
1,23,0,52
1,24,3,35
5,200,4,155
1,35,0,32
1,43,2,39
1,44,0,217
1,10,3,54
1,21,10,47
2,13,9,59
1,5,1,53
2,15,10,87
5,163,4,136
1,48,1,24
0,26,0,12
1,23,1,49
1,23,1,49
1,23,1,49
1,23,1,49
1,23,1,49
1,38,4,50
1,38,4,50
1,38,4,50
1,38,4,50
1,38,4,50
1,38,4,50
1,50,0,147
1,6,4,32
1,6,4,32
1,36,0,156
1,34,1,6
1,46,0,64
1,3,4,44
1,24,2,36
1,43,2,36
0,22,0,66
2,19,8,58
2,1,5,59
0,26,2,28
0,26,0,68
1,34,0,27
7,6,9,153
0,30,1,26
1,43,2,45
1,15,10,34
1,15,10,34
1,15,10,34
1,15,10,34
1,15,10,34
1,15,10,34
1,15,10,34
1,42,2,36
1,22,13,52
0,30,2,46
6,175,6,157
3,93,6,122
4,133,4,122
3,46,2,95
0,31,0,58
1,36,0,124
2,9,1,50
1,37,0,52
2,155,1,83
1,16,4,45
